# Torres Amat 1823 — dominio público (texto íntegro del Antiguo Testamento). Traducción de la Vulgata latina al español por
# don Félix Torres Amat (1772-1847), publicada entre 1823 y 1825.
# Source : module SWORD TorresAmat du projet OmarGonD/biblia-elim (reconstruction OCR de l'édition de 1882 conservée à Internet Archive,
# GPL-2.0-or-later ; le texte de Torres Amat lui-même est dominio público). Le module couvre 94 % des versets ; le
# texte contient des erratas résiduelles d'OCR et n'est pas révisé (versets perdus laissés en creux).
# Versification convertie Vulgate -> massorétique (BHSA, numérotation BHS : Deut 29:1, Isa 8:23, Joël 4 ch., Malachie
# 3 ch., etc.) : Psaumes Vulgate renumérotés (fusions 9/10,
# 113/114/115, 146/147 ; titres de psaumes conservés comme verset 1,
# convention BHSA), additions deutérocanoniques exclues (Daniel
# 3:24-90, 13-14 ; Esther Vulgate 10:4-13, 11-16), défauts OCR du
# module exclus (doublon 1 Rois 4, index des prophètes collé en
# Osée 1, Jérémie 1 perdu — copie numérotée de 2:1-7 mappée en
# Jérémie 2, secondes moitiés de versets). Calibré verset par
# verset contre la base BHSA ; voir scripts/extract_torres_amat.py.
# Format : nom_BHSA	chapitre	verset	texte_espagnol
Amos	7	14	A esto respondió Amós á Amasias: Yo no soy Profeta Y ni hijo de Profeta, sino que guardo unas vacas, y voy buscando sicómoros, y díjome el Señor; Vé á profetizar á mi pueblo de Israél
Amos	7	16	Y ahora tú, oh 4masias, escucha la palabra del Señor: Tú me dices á mi: No profetices contra Israél, y no profieras oráculos contra la casa del ídolo
Amos	7	17	Por tanto esto dice el Señor: Tu esposa será deshonrada en la ciudad, y serán pasados á cuchillo tus hijos é hijas, y tu país será repartido con una cuerda de medir; y tú morirás en una tierra profana, ó idólatra, e Israél saldrá cautivo fuera de su país
Amos	8	1	Envióme el Señor Dios esta vision: Ví un gancho de coger fruta
Amos	8	2	Y me dijo:¿Qué es lo que ves, oh Amós? Un gancho, respondí yo, de coger fruta. Y díjome el Señor: Ha llegado el fin de mi pueblo de Israél:no le dejaré yaimpune por mas tiempo
Amos	8	3	Yen aquel dia darán un estallido los quicios del templo, dice el Señor Dios: serán muchos los que perecerán; y reinará por todas partes el silencio de la muerte
Amos	8	4	Escuchad esto vosotros los que oprimís al pobre, y estrujais á los menesterosos del país
Amos	8	5	Y decís: ¿Cuándo pasará el mes % y venderemos los céneros; y pasará el sábado, y sacaremos fuera los granos; achicaremos la medida, y aumentaremos el peso del siclo, sustituyendo balanzas falsas
Amos	8	6	Para hacernos con el dinero dueños de los miserables, y con un par de sandalias comprar por esclavo al pobre, y vender á buen precio hasta las aechaduras del trigo?
Amos	8	7	Este juramento ha hecho el Señor contra la soberbia de los hijos de Jacob: Yo juro que no me olvidaré jamás de todo lo que han hecho
Amos	8	8	Y despues de tales cosas ¿no se estremecerá la tierra; y no prorumpirán en llanto todos sus moradores? La inundará toda un rio decalamidades; y quedará asolada, y desaparecerá como las aguas del rio de Egypto al llegar al mar
Amos	8	9	Y sucederá en aquel dia, dice el Señor Dios, que el sol se pondrá al medio día, y haré que la tierra se cubra de tinieblas en la mayor luz del dia
Amos	8	10	Y convertiré en llanto vuestras fiestas; y en lamentos todos vuestros cantares % y á todos vosotros os echaré el saco de cilicio sobre las espaldas, y os haré raer la cabeza; y ó la hija de Israél la pondré de duelo, cual suele ponerse la que ha perdido un hijo único, y hará que su fin sea un dia de amargura
Amos	8	11	Hé aquí que viene el tiempo, dice el Señor, en que yo enviaré hambre sobre la tierra; no hambre de pan ni sed de agua, sino de oir la palabra del Señor
Amos	8	12	Y quedarán todos trastornados, desde un mar al ótro, y desde el Norte hasta el Oriente. Discurrirán de una á otra parte deseosos de oir una palabra del Señor, y no lo consegulrán
Amos	8	13	En aquel dia desfallecerán de sed las hermosas doncellas, y los gallardos jóvenes
Amos	8	14	Aquellos que juran por el pecado ú ¿dolos de Samara, y dicen: Viva, oh Dan, el Dios tuyo 7; y viva la peregrinacion á Bersabée: y caerán por tierra, y no volverán jamás á levantarse
Amos	9	1	Yo ví al Señor que estaba sobre el altar, y dijo: Hiere el quicio ó umbral, y se conmoverán los dinteles. Porque no hay nadie que no esté dominado de la avaricia; y yo haré morir al filo de la espada hasta el último de ellos, sin que haya quien pueda escapar: huirán, y ninguno de los que huyeren se salvará
Amos	9	2	Cuando bajaren ellos hasta lo mas hondo de el infierno, de allí los sacaré yo con mi mano: y sisesubieren hasta el elelo, de allí los arrancaré
Amos	9	3	Y si se escondieren en las cimas del Carmelo, allí iré á buscarlos, y de allí los sacaré; y si se escondieren de mis ojos en lo mas profundo del mar, allí por órden mia los morderá el dragon marino
Amos	9	4	Y cuando serán llevados al cautiverio delante de sus enemigos, allí á mi órden los matará la espada Y: y fijaré mis ojos sobre ellos; pero para daño suyo, y no para su bien
Amos	9	5	Y el Señor es el Dios de los ejércitos, aquel que con tocar la tierra la hace estremecer: prorumpirán en llanto todos los moradores de ella: la saumergirá 4modo de un caudaloso rio, y ella desaparecerá como el rio de Eeypto al llegar al mear
Amos	9	6	El se ha construido su solio en el cielo, y ha establecido sobre la tierra el conjunto Y de tantas criaturas E, El llama á sí las aguas del mar, y las derrama sobre la superficie de la tierra: el Señor, este es el nombre suyo
Amos	9	7	Pues vosotros, oh hijos de Israél, dice el Señor, ¿no sois lo mismo para conmigo que los hijos de los Ethiopes? ¿No hice yo salir á Israél de la tierra de Egypto; al modo que trasporté de la Cappadocia á los Palestinos, y de Cyrene á los Syros?
Amos	9	8	Mas los ojos del Señor Dios están mirando á ese reino pecador; y yo le quitaré de sobre la haz de la tierra: pero no obstante no destruiré del todo, dice el Señor, la casa ó reino de Jacob
Amos	9	9	Pues hé aquí que por órden mia será agitada en medio de todas las naciones la casa de Israél, como se zarandea el trigo en un harnero, y no caerá por tierra un solo granito
Amos	9	10	Pasados á cuchillo serán todos los pecadores de mi pueblo, los cuales están diciendo: No se acercará, ni vendrá mal ninguno sobre nosotros
Amos	9	11	En aquel tiempo restauraré el tabernáculo d reino de David, que está por tierra, y repararé los portillos de sus muros, y reedificaré lo destruido, y lo volveré á poner en el pié en que estaba en los tiempos antiguos
Amos	9	12	Á fin de que sean dueños de los restos de la Iduméa, y de todas las demás naciones; pues que en ellos será invocado mi Nombre 1%, dice el Señor hacedor de tales maravillas
Amos	9	13	Hé aquí que vienen los tiempos, dice el Señor, en los cuales el que está aun arando verá ya detrás de sí al que siega Y; y aquel que pisa las uvas, verá tras de sí al que siernbra %, Los montes destilarán delicias, y serán cultivados todos los collados
Amos	9	14	Y sacaré de la esclavitud al pueblo mio de Israél, y edificarán las ciudades abandonadas y las habitarán, y plantarán viñas y beberán el vino de ellas, y formarán huertas, y comerán su fruta
Amos	9	15	Y yo los estableceré en su país, y nunca jamás volveré á arrancarlos de la tierra que yo les dí, dice el Señor Dios tuyo, AUNQUE algunos creen que Abdías fué contemporáneo de los tres profetizó despues que Nabuchodonosor destruyó á Jerusalem, esto es, por que se lee en Jeremías, cop. ALIX, y en Ezechiel, cap. XA V, no se sigue de Iduméos, á los cuales intima los castigos que les enviará Dios por el modo la ruina de la idolatría, y el establecimiento del reino de Jesu-Obristo. en gloria y majestad, Se hace mencion de otro Abdías, ILL. eg. NVITT
Canticum	1	5	Negra soy d morena, hijas de Jerusalem; pero soy bien parecida: soy como las tiendas de Cedar, como los pabellones de Salomon!
Canticum	1	6	No reparels, pues, en que soy morena; porque me ha robado el sol mi color, cuando los hijos de 1mi madre se declararon contra mí, y pusiéronme á guarda de viñas, ¡dy! m1 propia viña no la guardé
Canticum	1	7	Oh tú,el querido de mi alma, díme dónde tienes los pastos, dónde el sesteadero al llegar al medio dia, para que no tenga yo que lr vagueando tras de los rebaños de tus compañeros. $ IL. Instruccion que Jesu-Christo da á su Iglesia: obligacion de unirse ú ella y á sus pastores, para hallar á Jesu-Christo. Hermosura de la [glesia, y cómo cuida Jesu-Christo de adornarla y enriquecerla
Canticum	1	8	Esposo. Silo lgnoras, oh hermosísima entre las mujeres, sal afuera, y vé siguiendo las huellas de los ganados, y guia tus cabritillos á pacer junto á las cabañas de los pastores de mis ovejas
Canticum	1	9	A mis hermosos y arrogantes caballos umcidos á las carrozas que me ha dado Pharaon, te tengo yo comparada, amiga mia
